bugNumbers,changelist,client,date,description,reviewURL,reviewedBy,title,user,link
Review URL: ",, presslerv,[udpfec] staticOpts param is not optional for FECAsyncSocket_Listen,amold,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7383568?ac=10

,7381747,wsw10_cart-20fq3,8/27/19 0:48,"
[hcwin][DPM-3183][Custom resolution]:Remove ""Sync up with server"" from UI

From latest discussion we will not provide ""Synch up with server"" to user so remove it from UI in 20FQ3 and always don't save settings to server, meanwhile keep the code of sync up  logic for next release  use.

QA Notes: 
Testing Done: Tested sandbox ",,,"[hcwin][DPM-3183][Custom resolution]:Remove ""Sync up with server"" from UI",jjliu,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7381747?ac=10

,7378034,20fq3,8/25/19 17:39,"
Fix crash in HTML5VideoPlayer.exe


When the desktop session is connected and disconnected, a crashdump is generated in %localappdata%/CrashDumps folder. 
The stacktrace pointed to an issue with CefPlayerApp destructor. Only 'unconventional' thing being done in that code 
was that we were explicitly releasing a reference counted pointer.
So, it looks like first, the underlying object was destroyed but the refcounted object was still valid. After CefPlayerApp destructor 
was executed, again mTabMgr's destructor would've been invoked but since the underlying object was already freed, it resulted in crash dump.


Thus, for fixing this, we just set mTabMgr = NULL.

QA Notes: 
Testing Done: Put breakpoint on html5mmr and browser redirection videoplayer and ensured there are no exceptions. 
Basic sanity testing of html5mmr and browser redirection functionality done.


rde-rft-all release sb:  ",,,Fix crash in HTML5VideoPlayer.exe,nirmitd,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7378034?ac=10

,7378034,20fq3,8/25/19 17:39,"
Fix crash in HTML5VideoPlayer.exe


When the desktop session is connected and disconnected, a crashdump is generated in %localappdata%/CrashDumps folder. 
The stacktrace pointed to an issue with CefPlayerApp destructor. Only 'unconventional' thing being done in that code 
was that we were explicitly releasing a reference counted pointer.
So, it looks like first, the underlying object was destroyed but the refcounted object was still valid. After CefPlayerApp destructor 
was executed, again mTabMgr's destructor would've been invoked but since the underlying object was already freed, it resulted in crash dump.


Thus, for fixing this, we just set mTabMgr = NULL.

QA Notes: 
Testing Done: Put breakpoint on html5mmr and browser redirection videoplayer and ensured there are no exceptions. 
Basic sanity testing of html5mmr and browser redirection functionality done.


rde-rft-all release sb:  ",,,Fix crash in HTML5VideoPlayer.exe,nirmitd,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7378034?ac=10

,7378034,20fq3,8/25/19 17:39,"
Fix crash in HTML5VideoPlayer.exe


When the desktop session is connected and disconnected, a crashdump is generated in %localappdata%/CrashDumps folder. 
The stacktrace pointed to an issue with CefPlayerApp destructor. Only 'unconventional' thing being done in that code 
was that we were explicitly releasing a reference counted pointer.
So, it looks like first, the underlying object was destroyed but the refcounted object was still valid. After CefPlayerApp destructor 
was executed, again mTabMgr's destructor would've been invoked but since the underlying object was already freed, it resulted in crash dump.


Thus, for fixing this, we just set mTabMgr = NULL.

QA Notes: 
Testing Done: Put breakpoint on html5mmr and browser redirection videoplayer and ensured there are no exceptions. 
Basic sanity testing of html5mmr and browser redirection functionality done.


rde-rft-all release sb:  ",,,Fix crash in HTML5VideoPlayer.exe,nirmitd,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7378034?ac=10

,7375628,shuaibingw-cart-20fq3,8/23/19 18:02,"
[Linux Client][Open source compilation]Add resource files to tarball.
After gtk3 upgrade, these files are needed to compile client open source.	

QA Notes: 
Testing Done:",,,[Linux Client][Open source compilation]Add resource files to tarball.,shuaibingw,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7375628?ac=10

,7375628,shuaibingw-cart-20fq3,8/23/19 18:02,"
[Linux Client][Open source compilation]Add resource files to tarball.
After gtk3 upgrade, these files are needed to compile client open source.	

QA Notes: 
Testing Done:",,,[Linux Client][Open source compilation]Add resource files to tarball.,shuaibingw,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7375628?ac=10

2408653,7371878,joeqiux-t3610-e,8/22/19 13:13,"
html5mmr/webrtc - Fix bug#2408653 we got trapped in the RequestManager.cleanup loop when websocket closed before receiving createInstanceResult.

 RequestManager.cleanup() is called by the createInstance promise and the websocket close callback. Under normal case, the createInstance promise is resolved upon receiving createInstanceResult webtext. There is no conflict.
However, if the websocket is closed after createInstance is sent, but before createInstanceResult gets received. The cleanup() will try to cancel all the promise, which triggers the createInstance promise calls cleanup again. This forms a loop until the stack overflowed in the javascript.

This change fixed this issue.

QA Notes: 
Testing Done:
1. Reproed this by manually disconnect before sending createInstanceResult.
2. Not reproed after the fix.
Documentation Notes: 
Bug Number: 2408653
Reviewed by: haishanw
Approved by: 
Mailto: 
Review URL: 
SVS Submit Restricted: Yes
Post Submit Tests: 
# Set ""Merge to"" values below to YES, SVS, SVSNOTEST, NO, or MANUAL.
# If you're unsure, ask your manager or your peers, DO NOT guess.
Merge to: main: YES ## status=success; info=7371881;
",, haishanw,html5mmr/webrtc - Fix bug#2408653 we got trapped in the RequestManager.cleanup loop when websocket closed before receiving createInstanceResult.,joeqiux,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7371878?ac=10

,7369304,p4client-nge-cart-20fq3,8/21/19 20:20,"
Integrate 20190819 drop scanner 2.2.2.5 into horizonagent

Fix bug 2390651

QA Notes: 
Testing Done: ",,,Integrate 20190819 drop scanner 2.2.2.5 into horizonagent,nge,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7369304?ac=10

,7369304,p4client-nge-cart-20fq3,8/21/19 20:20,"
Integrate 20190819 drop scanner 2.2.2.5 into horizonagent

Fix bug 2390651

QA Notes: 
Testing Done: ",,,Integrate 20190819 drop scanner 2.2.2.5 into horizonagent,nge,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7369304?ac=10

,7369304,p4client-nge-cart-20fq3,8/21/19 20:20,"
Integrate 20190819 drop scanner 2.2.2.5 into horizonagent

Fix bug 2390651

QA Notes: 
Testing Done: ",,,Integrate 20190819 drop scanner 2.2.2.5 into horizonagent,nge,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7369304?ac=10

2358363,7368329,igorb7,8/21/19 13:44,"
Crossport of change 7368313 from main to cart-20fq3.


******************

Testing Done: see original testing comments
Reviewed by: myuan
SVS Submit Restricted: Yes
Merge to: main: NO # Circular Merges NOT allowed
Original Submittor: igorb

Optionally refresh client desktop and taskbar icons (hcwin part).

Customer/s complain for a long time that our remote icons in taskbar
appear as blank icons intermittently. It's not reproduced
internally. Refreshing desktop/taskbar icons on unity start resolves
the problem. We don't want to call it by default and it should be only
optional workaround for customers who hit that issue.

QA Notes: 
Testing Done: Sent sandbox to customer and they confirmed that the problem
              was resolved. It's not reproduced internally. 
Documentation Notes: 
Bug Number: 2358363
Reviewed by: auto # Original   myuan
Approved by: 
Mailto: 
SVS Submit Restricted: Yes
",, auto # Original   myuan,Crossport of change 7368313 from main to cart-20fq3.,igorb,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7368329?ac=10

,7367087,zhhagent,8/21/19 4:16,"
<Fix Bug-URL Nested mode install-2407402-Can't install URL Redirection feature on nested-mode Client with agent version 7.1x>

Background
Agent involved vmwicpdr driver since 7.1.0,new Client involves the same driver only if URL Redirection is Enabled. However, there was a significant change between Agent 7.1.0 and 7.2.0 (CL#4796058), which changed the GUID of vmwicpdr.sys and the way it upgrades. The change makes it in-compatible with the later versions.Limitation now is like install Agent 7.1.X and the new Client with URL Redirection Enabled, then uninstall the Client, vmwicpdr driver will be removed.If Agent 7.1.X is already installed,The solution would be disable to install URL Redirection feature on Client.

Reason:
The verify coding is ""if (agentVersion.Trim().StartsWith(""7.1""))"". So for the latest version(7.10) matches the rule.

Solution:
Change the coding to: if (agentVersion.Trim().StartsWith(""7.1.""))

QA Notes: 
Testing Done: 
Sb-building-successful and the issue has been solved.
 ",,,<Fix Bug-URL Nested mode install-2407402-Can't install URL Redirection feature on nested-mode Client with agent version 7.1x>,zhuanhuan,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7367087?ac=10

,7367087,zhhagent,8/21/19 4:16,"
<Fix Bug-URL Nested mode install-2407402-Can't install URL Redirection feature on nested-mode Client with agent version 7.1x>

Background
Agent involved vmwicpdr driver since 7.1.0,new Client involves the same driver only if URL Redirection is Enabled. However, there was a significant change between Agent 7.1.0 and 7.2.0 (CL#4796058), which changed the GUID of vmwicpdr.sys and the way it upgrades. The change makes it in-compatible with the later versions.Limitation now is like install Agent 7.1.X and the new Client with URL Redirection Enabled, then uninstall the Client, vmwicpdr driver will be removed.If Agent 7.1.X is already installed,The solution would be disable to install URL Redirection feature on Client.

Reason:
The verify coding is ""if (agentVersion.Trim().StartsWith(""7.1""))"". So for the latest version(7.10) matches the rule.

Solution:
Change the coding to: if (agentVersion.Trim().StartsWith(""7.1.""))

QA Notes: 
Testing Done: 
Sb-building-successful and the issue has been solved.
 ",,,<Fix Bug-URL Nested mode install-2407402-Can't install URL Redirection feature on nested-mode Client with agent version 7.1x>,zhuanhuan,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7367087?ac=10

,7367087,zhhagent,8/21/19 4:16,"
<Fix Bug-URL Nested mode install-2407402-Can't install URL Redirection feature on nested-mode Client with agent version 7.1x>

Background
Agent involved vmwicpdr driver since 7.1.0,new Client involves the same driver only if URL Redirection is Enabled. However, there was a significant change between Agent 7.1.0 and 7.2.0 (CL#4796058), which changed the GUID of vmwicpdr.sys and the way it upgrades. The change makes it in-compatible with the later versions.Limitation now is like install Agent 7.1.X and the new Client with URL Redirection Enabled, then uninstall the Client, vmwicpdr driver will be removed.If Agent 7.1.X is already installed,The solution would be disable to install URL Redirection feature on Client.

Reason:
The verify coding is ""if (agentVersion.Trim().StartsWith(""7.1""))"". So for the latest version(7.10) matches the rule.

Solution:
Change the coding to: if (agentVersion.Trim().StartsWith(""7.1.""))

QA Notes: 
Testing Done: 
Sb-building-successful and the issue has been solved.
 ",,,<Fix Bug-URL Nested mode install-2407402-Can't install URL Redirection feature on nested-mode Client with agent version 7.1x>,zhuanhuan,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7367087?ac=10

" 2384410, 2390441, 2390678, 2391295, 2391573, 2393255",7304029,alanh-jetpack,7/29/19 9:13,"
Fix mouse ungrab issues with the new Mac client

QA Notes: 
Testing Done: Mac client with bug #2391295 and bug #2390441
Documentation Notes: 
Bug Number: 2384410, 2390441, 2390678, 2391295, 2391573, 2393255
Reviewed by: bentonj, tatrey, kelsallt
Approved by: 
Mailto: 
SVS Submit Restricted: Yes
# Set ""Merge to"" values below to YES, SVS, SVSNOTEST, NO, or MANUAL.
# If you're unsure, ask your manager or your peers, DO NOT guess.
Merge to: main: YES ## status=success; info=7304030;
Review URL: ",," bentonj, tatrey, kelsallt",Fix mouse ungrab issues with the new Mac client,alanh,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7304029?ac=10

,7363310,pwin10_cart-20fq3,8/20/19 2:08,"
[hcwin]Fix bug 2394972: Resolution and scaling labels blurred after switch to/from automatic
Also optimized the logic to rebuild Allow display scaling mode and layout window.
QA Notes: 
Testing Done: 
Tested with sandbox ",,,[hcwin]Fix bug 2394972: Resolution and scaling labels blurred after switch to/from automatic,jjliu,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7363310?ac=10

,7362926,hshi-horizonclient-cart-20fq3,8/19/19 23:57,"
Horizon Clients 5.2 L10n drop2 - hcwin

To check in the drop2 files for hcwin to cart-20fq3

QA Notes: 
Testing Done: ",,,Horizon Clients 5.2 L10n drop2 - hcwin,hshi,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7362926?ac=10

,7362047,agong-cart-20fq3,8/19/19 19:14,"
[Horizon Linux client] Add support for option ""appSize"" to be compatible with thinlinux

On thinlinux, horizon linux client will be launched with ""appSize"" option.
However, appSize is not supported when built with crtbora.
Option appSize will only be used when supporting rmks container on arm platform.

In Q3 linux will always be built with crtbora, even on arm linux.
That means we lost support for option ""appSize"", which in turn leads to failure of launching linux client on thinlinux.

Solution:
Add ""appSize"" option support, but make it a hidden option.

QA Notes: 
Testing Done: Local test OK, sandbox ",,,"[Horizon Linux client] Add support for option ""appSize"" to be compatible with thinlinux",agong,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7362047?ac=10

,7359859,ksong-cart-20fq3-bug,8/19/19 1:16,"
[LinuxVDI]Redirect log of rde process in DesktopWorker

Redirect log of rde process in DesktopWorker

QA Notes: 
Testing Done: ",,,[LinuxVDI]Redirect log of rde process in DesktopWorker,ksong,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7359859?ac=10

,7359859,ksong-cart-20fq3-bug,8/19/19 1:16,"
[LinuxVDI]Redirect log of rde process in DesktopWorker

Redirect log of rde process in DesktopWorker

QA Notes: 
Testing Done: ",,,[LinuxVDI]Redirect log of rde process in DesktopWorker,ksong,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7359859?ac=10

,7359859,ksong-cart-20fq3-bug,8/19/19 1:16,"
[LinuxVDI]Redirect log of rde process in DesktopWorker

Redirect log of rde process in DesktopWorker

QA Notes: 
Testing Done: ",,,[LinuxVDI]Redirect log of rde process in DesktopWorker,ksong,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7359859?ac=10

,7359834,LT_Bora,8/19/19 1:00,"
[hcwin][DPM-3183][Customize resolution] Sync client settings to server by default.

New changes per our latest discussion:
1. Set the check-box of ""Sync up with server"" as checked by default;
   Previously it was not checked by default.
2. Don't update the UI with the DPI/resolution values from server after the check-box of ""Sync up with server"" is checked;
   Previously we will update the UI with them if the button is checked by user.

QA Notes: 
Testing Done: Yes, tested that:
1. The feature worked as expected per the above two changes;
2. Also tested the following scenarios and client worked fine:
   a. ""Sync up with server"" is checked, resolution is set as ""Auto"";
   a. ""Sync up with server"" is checked, resolution is set to some other values, such as ""640X480"", DPI is set as something like ""150%"";
   c. ""Sync up with server"" is unchecked, resolution is set as ""Auto"";
   d. ""Sync up with server"" is unchecked, resolution is set to some other values, such as ""1280X800"", DPI is set as something like ""200%"";
   e. Some other scenarios.
Sandbox: ",,,[hcwin][DPM-3183][Customize resolution] Sync client settings to server by default.,bliu,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7359834?ac=10

,7353447,ksong-cart-20fq3-worker,8/15/19 18:58,"
[LinuxVDI]Add the log config of new process in the config.template

Add the log config of BlastServer, desktopDaemon, desktopController,
  desktopWorker processes in the /etc/vmware/config.template

QA Notes: 
Testing Done: ",,,[LinuxVDI]Add the log config of new process in the config.template,ksong,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7353447?ac=10

,7347749,whsdp-bora,8/14/19 0:19,"
Consume cayman_vespa

From m11 branch

QA Notes: 
Testing Done: visual inspection 
Documentation Notes: 
Bug Number: 
Reviewed by: emergency 
Approved by: emergency
Mailto: 
SVS Submit Restricted: Yes
# Set ""Merge to"" values below to YES, SVS, SVSNOTEST, NO, or MANUAL.
# If you're unsure, ask your manager or your peers, DO NOT guess.
Merge to: main: NO
",, emergency,Consume cayman_vespa,haishanw,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7347749?ac=10

,7347749,whsdp-bora,8/14/19 0:19,"
Consume cayman_vespa

From m11 branch

QA Notes: 
Testing Done: visual inspection 
Documentation Notes: 
Bug Number: 
Reviewed by: emergency 
Approved by: emergency
Mailto: 
SVS Submit Restricted: Yes
# Set ""Merge to"" values below to YES, SVS, SVSNOTEST, NO, or MANUAL.
# If you're unsure, ask your manager or your peers, DO NOT guess.
Merge to: main: NO
",, emergency,Consume cayman_vespa,haishanw,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7347749?ac=10

,7347749,whsdp-bora,8/14/19 0:19,"
Consume cayman_vespa

From m11 branch

QA Notes: 
Testing Done: visual inspection 
Documentation Notes: 
Bug Number: 
Reviewed by: emergency 
Approved by: emergency
Mailto: 
SVS Submit Restricted: Yes
# Set ""Merge to"" values below to YES, SVS, SVSNOTEST, NO, or MANUAL.
# If you're unsure, ask your manager or your peers, DO NOT guess.
Merge to: main: NO
",, emergency,Consume cayman_vespa,haishanw,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7347749?ac=10

,7335471,ksong-cart-20fq3-bug,8/9/19 3:22,"
[LinuxVDI]Linux agent should not use 127.0.0.1:xxx for DISPLAY

Since we use the XDMCP in linux agent, this result the DISPLAY
include ""127.0.0.1"" and prevents application from using shared
memory of Xorg. We reset the DISPLAY without ""127.0.0.1"" in our
remote display session.

QA Notes: 
Testing Done: ",,,[LinuxVDI]Linux agent should not use 127.0.0.1:xxx for DISPLAY,ksong,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7335471?ac=10

,7335187,wsw10_cart-20fq3,8/9/19 2:02,"
Add tootips for new resolution and scaling UI

QA Notes: 
Testing Done: 
Tested with sandbox",,,Add tootips for new resolution and scaling UI,jjliu,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7335187?ac=10

,7334139,pwin10_cart-20fq3,8/8/19 19:20,"
[hcwin]Fix bug 2394969: Allow Display Scaling is available in menu under fixed resolution/scaling
Root cause:
The Allow Display Scaling option is hidden in desktop settings UI when desktop resolution/scaling is not Automatic, but this is not considered when building desktop Options menu
Resolution:
Take into consideration of the resolution and scaling state to show/hide this in option menu.

QA Notes: 
Testing Done:
Tested with sandbox ",,,[hcwin]Fix bug 2394969: Allow Display Scaling is available in menu under fixed resolution/scaling,jjliu,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7334139?ac=10

2398224,7331736,alanh-jetpack,8/8/19 1:01,"
Add support for Thumbnails through window overlays.

On Mac with Mission Control we need thumbnail support. With this
the UI defines the window contents that have been destroyed through
VMDB to reconstruct the window. 

Currently only supported on Mac.

QA Notes: 
Testing Done: Mac client with Mission Control.
Documentation Notes: 
Bug Number: 2398224
Reviewed by: smoiron, bentonj, tatrey
Approved by: 
Mailto: 
Review URL: ",," smoiron, bentonj, tatrey",Add support for Thumbnails through window overlays.,alanh,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7331736?ac=10

,7330987,zhanglin-windows,8/7/19 20:01,"
Skip counting IME language bar in win10

In win10, the IME language bar is hosted by ctfmon.exe:
2019-07-31T16:16:34.935-07:00 TRACE (2490-03F8) <WindowCountMonitor> [ws_applaunchmgr] Enumerating all windows...
2019-07-31T16:16:34.953-07:00 TRACE (2490-03F8) <WindowCountMonitor> [ws_applaunchmgr] Window enumeration results: 1
16:34.953-07:00 TRACE (2490-03F8) <WindowCountMonitor> [ws_applaunchmgr] #1 title=""TF_FloatingLangBar_WndTitle"" image=""C:\Windows\System32\ctfmon.exe""
16:34.953-07:00 DEBUG (2490-03F8) <WindowCountMonitor> [ws_applaunchmgr] WINDOW-COUNT: 1
WINDOW: title=TF_FloatingLangBar_WndTitle, path=C:\Windows\System32\ctfmon.exe, minimized=0, visible=1


QA Notes: 
Testing Done: tested in a Chinese Win10 OS, the language bar is not counted.
Documentation Notes: 
Bug Number: 
Reviewed by: grossag, myuan
Approved by: 
Mailto: 
SVS Submit Restricted: Yes
# Set ""Merge to"" values below to YES, SVS, SVSNOTEST, NO, or MANUAL.
# If you're unsure, ask your manager or your peers, DO NOT guess.
Merge to: main: YES ## status=success; info=7330996;
",," grossag, myuan",Skip counting IME language bar in win10,zzhou,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7330987?ac=10

,7329782,clayton-win7-cart-20fq3,8/7/19 11:12,"
Bump crtbora to 7329774

Fixing a build breakage in crtbora caused by CLN 7329420

QA Notes: 
Testing Done: n/a
Documentation Notes: 
Bug Number: 
Reviewed by: emergency
Approved by: 
Mailto: 
Review URL: 
SVS Submit Restricted: Yes
Post Submit Tests: 
# Set ""Merge to"" values below to YES, SVS, SVSNOTEST, NO, or MANUAL.
# If you're unsure, ask your manager or your peers, DO NOT guess.
Merge to: main: CANCEL ## status=cancelled; info=Cancelled by clayton on 07-08-19 11:15:41;
",, emergency,Bump crtbora to 7329774,clayton,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7329782?ac=10

,7327324,ksong-cart-20fq3-bug,8/6/19 17:57,"
[LinuxVDI]Add right and execute right for XDG_RUNTIME_DIR

Some application may reset the permission of XDG_RUNTIME_DIR
and result our remote experience features don't work. We should
add right and execute right for XDG_RUNTIME_DIR when user
reconnect to desktop every time.

QA Notes: 
Testing Done: ",,,[LinuxVDI]Add right and execute right for XDG_RUNTIME_DIR,ksong,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7327324?ac=10

,7327324,ksong-cart-20fq3-bug,8/6/19 17:57,"
[LinuxVDI]Add right and execute right for XDG_RUNTIME_DIR

Some application may reset the permission of XDG_RUNTIME_DIR
and result our remote experience features don't work. We should
add right and execute right for XDG_RUNTIME_DIR when user
reconnect to desktop every time.

QA Notes: 
Testing Done: ",,,[LinuxVDI]Add right and execute right for XDG_RUNTIME_DIR,ksong,https://p4web.eng.vmware.com:443/@md=d&cd=//&c=UXC@/7327324?ac=10

,7327324,ksong-cart-20fq3-bug,8/6/19 17:57,"
[LinuxVDI]Add right and execute right for XDG_RUNTIME_DIR

Some application may reset the permission of XDG_RUNTIME_DIR
and result our remote experience features don't work. We should
add right and execute right for XDG_RUNTIME_DIR when user
reconnect to desktop every time.

QA Notes: 
