Bug ID,"Severity","Priority","Status","Assignee","Reporter","Product","Category","Component","Keywords","Build","Regression","Summary"
2365383,"serious","P1","closed","vertikasingh","jchittala","VDI","Skype For Business Redirection","SFB Agent",,,"---","[VMW-1372] - VMWMMAPluginUI settings and statistics window do not open on Win 7 with vespa branch builds"
2365454,"minor","P1","closed","haishanw","kli","VDI","Microsoft Teams","Client",,,"---","calls fail with disabled camera"
2365519,"critical","P1","closed","alanh","swan","VDI","Blast Integration","Win Client",,13959711,"---","[New Client] Black screen is shown after the client installed on the 1-CPU VM connects the remote desktop"
2365528,"catastrophic","P1","closed","vdi-guru","gjin","VDI","Installer","viewAgent-Core (win)","BAT, view-client-auto-win",13961735,"---","Agent installation fails on Win7 VDI"
2365533,"critical","P1","closed","alanh","swan","VDI","Blast Integration","Win Client",,13961853,"---","[New Client] cannot operate on the remote deskop after reconnecting to the existing session via PCoIP"
2365779,"serious","P1","closed","smangui","zhangh","VDI","Printer  Redirection","VMW - Linux Client",,13961855,"No","Please include Brown in the overall tar package: vmware-view-client-linux-xxx-yyyy.tar.gz"
2365861,"serious","P1","closed","bhatial","xinshul","VDI","Multimedia","Browser Redirection",,,"---","(Extension addressbar approach) Sometimes cannot go back to the previous page"
2365879,"serious","P1","closed","bhatial","xinshul","VDI","Multimedia","Browser Redirection",,,"---","Drag the top frame of the web page is not with good experience"
2366003,"serious","P1","closed","agong","alanh","VDI","Remote Client","lx client",,,"---","Linux Client hides the Desktop & Application List on session start"
2366137,"critical","---","assigned","aisajanyan","tsharan","VDI","Blast Protocol","Performance","HealthCareCustomer, SR",,"Unknown","[SR][19000950106][Texas Health Resources][PLT] Session stealing is taking 8-11 seconds with Nvidia Graphic card. Without Nvidia, it takes only 2-3 seconds."
2366482,"critical","P1","closed","appblast-guru","huanguoz","VDI","Blast Protocol","Display","BAT, CART-AIR-Automation",13973678,"---","Black screen when connect the remote desktop with Blast protocol"
2366500,"critical","P1","closed","appblast-guru","ljack","VDI","Blast Protocol","Other",,13974991,"---","It shows ""The display protocol for this desktop is currently not available"" when launching agent desktop with Blast"
2366547,"minor","P1","closed","wbai","wbai","VDI","Client Drive Redirection","Windows Agent",,,"No","CDR File read cache has no effect when copying a small file (less than 32k) by Explorer.exe from client to agent"
2366618,"critical","P1","closed","alanh","ljack","VDI","Blast Integration","Win Client",,13973678,"---","Agent desktop freeze when switching from H264 to JPEG/PNG"
2366673,"serious","P1","closed","bentonj","ljack","VDI","Blast Protocol","Display",,13974991,"---","[Dynamic Encoder] After playing video, when moving the window inside agent desktop, the agent desktop was refreshed block by block"
2366715,"critical","P1","closed","bentonj","ljack","VDI","Blast Integration","Win Client",,13975145,"---","[New Client] No H264 watermark when playing video for the second time"
2366721,"serious","P1","closed","agong","alanh","VDI","Remote Client","lx client",,,"---","ERROR:/build/mts/release/bora-13929828/horizonclient/view/openClient/gtk/cdkPcoipDesktopCrtbora.cpp:3202:void cdk_pcoip_desktop_disconnect(CdkRemoteDesktop*): assertion failed: (priv->desktop)"
2366739,"serious","P1","closed","shahsunny","xinshul","VDI","Multimedia","Browser Redirection",,,"---","“Authorization Required” error information rather than ""sign in"" dialog when needs authentication"
2366794,"serious","P1","closed","bhatial","xinshul","VDI","Multimedia","Browser Redirection","known-issue",,"---","Cannot save password for users"
2366874,"serious","P1","closed","bhatial","xinshul","VDI","Multimedia","Browser Redirection","known-issue",,"---","Cannot do the download operation"
2366892,"minor","P1","closed","bhatial","xinshul","VDI","Multimedia","Browser Redirection",,,"---","Switching focus from agent window to redirected view point does not give good experience"
2366904,"serious","P1","closed","shahsunny","xinshul","VDI","Multimedia","Browser Redirection",,,"---","Pressing Alt+F4 will clear the content of view point"
2367214,"minor","P1","closed","haishanw","kli","VDI","Microsoft Teams","Client",,,"---","self preview resizes/wrong aspect ratio when sharing ppt"
2367322,"critical","P1","closed","amold","scheng","VDI","Blast Networking","BEAT Side Channel",,13961898,"---","""USB Initializing..."" shows up sometimes if re-logon the session over beat side channel under the network with delay time"
2367421,"critical","P1","closed","xwei","huanguoz","VDI","Flash MMR Redirection","Windows Client","BAT, CART-AIR-Automation",13977889,"---","RMKS dump created when executing flash redirection bats case(D:\build\ob\bora-13977688\bora\apps\rde\flashmmr\client\axplugin\flashPlayer.cpp @ 421)"
2367444,"serious","P1","closed","bhatial","xinshul","VDI","Multimedia","Browser Redirection",,,"---","Error message (like 404 page cannot be found) cannot be shown to user"
2367466,"serious","P1","closed","amold","zlin","VDI","Blast Networking","BEAT (UDP FEC) Library",,24697551,"---","Sometimes remote agent cannot be launched via Blast and Worker dump was found ASSERT bora\lib\udpfec\fecHostUDP.c:2605"
2367560,"serious","P1","closed","nirmitd","xinshul","VDI","Multimedia","Browser Redirection",,,"---","link inside an element tag does not take effect"
2367636,"serious","P1","closed","nirmitd","xinshul","VDI","Multimedia","Browser Redirection",,,"---","[new Client] Viewport is covered by color block and desktop & application select list when launch chrome as app with Browser Redirection works"
2367660,"serious","P1","new","zji","zji","VDI","RMKS","linux",,,"No","Revert the WA in scons libtool once linux vdi drop gtk2 support"
2367668,"critical","P1","closed","bhatial","xinshul","VDI","Multimedia","Browser Redirection",,,"---","Browser redirection stop working in chrome as application when the RDSH desktop is launched"
2367675,"critical","P1","closed","bhatial","xinshul","VDI","Multimedia","Browser Redirection",,,"---","Browser redirection stop working in chrome as application when the RDSH desktop is launched"
2367912,"catastrophic","P0","closed","aisajanyan","bhatial","VDI","Remote Core","Input (Console)",,13980970,"Yes","Mouse/Keyboard input to the desktop does not work"
2367973,"serious","P1","closed","vertikasingh","kli","VDI","Skype For Business Redirection","SFB Windows Client",,,"Yes","[VMW-1374] SFB is in fallback mode when using debug ME"
2368189,"critical","P1","closed","yanx","ljack","VDI","Remote Client","web client",,13956529,"Yes","Keyboard input doesn't work with Web client with Chrome browser"
2368232,"critical","P1","closed","arongp","yul","VDI","Virtual Channel SDKs","RDP VC Bridge","ThinPrint, view-client-auto-mac",13971209,"Yes","ThinPrint redirection stops working for Blast session"
2368329,"minor","P1","closed","bhatial","xinshul","VDI","Multimedia","Browser Redirection",,,"---","Launching chrome page in different ways cannot make browser redirection work until refreshing the page"
2368392,"critical","P1","closed","bentonj","ljack","VDI","Blast Integration","Mac Client",,13983893,"Yes","[Dynamic Encoder] Dynamic encoder switch is disabled with Mac client"
2368397,"serious","P1","closed","nirmitd","xinshul","VDI","Multimedia","Browser Redirection",,,"---","Viewport color block keeps when the desktop turns off the display"
2368429,"serious","P1","closed","dcheah","zlin","VDI","Blast Protocol","Performance","PAfeature-BJauto",13987687,"---","Blast worker memory increases obviously after re-connection stress test"
2368467,"serious","P1","closed","bentonj","ljack","VDI","Blast Protocol","Other",,13983893,"---","[Dynamic Encoder] It cannot switch to H264 when playing video with maximize video window with 4K monitor"
2368476,"serious","P1","closed","shahsunny","xinshul","VDI","Multimedia","Browser Redirection",,,"---","Keyboard shotcuts that applys in browser redirection"
2368941,"serious","P1","closed","appblast-guru","fschimscheimer","VDI","Blast Protocol","Other",,13991582,"---","Blast Worker core dumps running RAWC 24 hour PDF scrolling test."
2369010,"serious","P1","closed","alanh","swan","VDI","Blast Integration","Win Client",,13987579,"---","[New Client] RMKS dump with ""PANIC: MXUserAcquisitionTracking: rank violation maxRank=0x51f"""
2369015,"serious","P1","new","bentonj","ljack","VDI","Blast Protocol","Other",,13983893,"---","[Dynamic Encoder] The encoder name shows in the performance tracker is always ""switch"""
2369237,"serious","P1","closed","dcheah","scheng","VDI","Blast Protocol","Display",,13994510,"---","Remote session screen is corrupted and not clickable after resize blast session for several times"
2369281,"minor","P1","closed","bhatial","xinshul","VDI","Multimedia","Browser Redirection","known-issue",,"---","Browser redirection cannot work at the same time with URL content redirection"
2369350,"critical","P1","closed","alanh","xinshul","VDI","Blast Integration","Win Client",,,"---","[PCoIP]Connection ended when re-focus from viewport to agent side and do some keyboard operations"
2369353,"critical","P1","closed","amold","ljack","VDI","Blast Networking","Other","PAfeature-BJauto",13994419,"Yes","[QoS] DSCP value is not set in AOut UDP messages"
2369399,"serious","P1","closed","shahsunny","xinshul","VDI","Multimedia","Browser Redirection",,,"---","Desktop & app selector window hangs after disconnecting a desktop with viewport opened"
2369463,"minor","P1","closed","bhatial","xinshul","VDI","Multimedia","Browser Redirection","known-issue",,"---","No method to save image"
2369474,"serious","P1","closed","alanh","huanguoz","VDI","RMKS","win","BAT, CART-AIR-Automation",13991942,"---","RMKS dump created when executing seamless window bats case(D:\build\ob\bora-13990782\bora\apps\viewusb\framework\usb\clientd\dev.cc @ 2952)"
2369946,"serious","P1","closed","alanh","swan","VDI","Blast Integration","Win Client",,13998014,"---","[New Client] Touch and pen input fail to work in the remote session"
2369962,"critical","P1","closed","chenyu","yanchaozhang","VDI","Linux Agent","mksVNCServer","linuxvdi-multiple-session, view-agent-auto-lx",13999333,"---","RHEL 6.10 failed to entering GUI console after agent installation"
2369968,"serious","P1","closed","hek","renz","VDI","Linux Agent","Installer",,14000724,"---","[Linux VDI] Installer reports error message 'chown: invalid user: 'vmwblast''"
2369971,"critical","P1","closed","chenyu","yanchaozhang","VDI","Linux Agent","mksVNCServer","view-agent-auto-lx",13998328,"---","SSO Failed to work on Ubuntu 1804 and RHEL 7.6"
2369974,"serious","P1","closed","hangl","renz","VDI","Linux Agent","Core-Agent",,14000724,"---","[Linux VDI] desktopDaemon IPC message parse error the first time Agent startup"
2369982,"serious","P1","closed","renz","yanchaozhang","VDI","Linux Agent","Client Drive Redirection","linuxvdi-multiple-session, view-agent-auto-lx",13999333,"---","Can't access tsclient after login"
2369996,"serious","P1","closed","alanh","swan","VDI","Blast Integration","Win Client",,13998014,"---","[New Client] failed to display the mouse cursor completely on the top of the remote desktop after enabling relative mouse"
2370032,"serious","P1","closed","achernikov","huanguoz","VDI","RMKS","win","BAT, CART-AIR-Automation",13998014,"---","RMKS dump created when executing multi-monitors case"
2370075,"critical","P1","closed","alanh","swan","VDI","Blast Integration","Win Client",,13998014,"---","[New Client] Relative mouse cannot work properly after doing grab and ungrab operations"
2370080,"critical","P1","closed","achernikov","ltim","VDI","Blast Integration","Win Client",,14000604,"Yes","[New Client] Windows Client (in Fusion VM) MKS was ended when connection uses Blast H.264."
2370160,"minor","P1","new","bhatial","xinshul","VDI","Multimedia","Browser Redirection","known-issue",,"---","Context Menu in viewport is fully available"
2370165,"minor","P1","closed","bhatial","xinshul","VDI","Multimedia","Browser Redirection","Documentation, known-issue",,"---","Dragging a link on viewport to address bar is not supported"
2370174,"serious","P1","closed","linz","zhangh","VDI","USB Redirection","Linux Client","view-client-auto-lx",14000603,"Yes","vmware-view-usbdloader and vmware-view-usbdloader.dbg are not included in any tar package"
2370192,"serious","P2","closed","tzhao","scheng","VDI","Remote Client","web client",,13997274,"---","Uncaught (in promise) DOMException occurs while connecting blast session with Web client"
2370269,"serious","P1","new","aisajanyan","scheng","VDI","Blast Protocol","Display",,14000665,"---","Remote desktop is still visible after time is out for turning off the display."
2370307,"serious","P1","closed","myuan","alanh","VDI","Seamless Windows","Client Common",,,"---","ASSERT: bora/apps/lib/cui/unity/unityMgr.cc:3391"
2370621,"critical","P1","closed","zzhou","lkokpyng","VDI","Seamless Windows","Agent",,13964382,"---","Fail to launch UWP apps when using Windows 10 multi-session edition as agent VM"
2371072,"critical","P1","new","nirmitd","rpinkoske","VDI","Multimedia","HTML5 Video Redirection","Risk_accepted, Risk_accepted_multiple",,"---","[VP Exception] Bump chromium due to multiple CVEs"
2371077,"serious","P1","closed","leep","gsi","VDI","USB Redirection","Win Agent",,,"Unknown","Fails to start USB kernel logging on Agent with ws_diag.exe"
2371084,"serious","P1","closed","yhui","yhui","VDI","Printer  Redirection","VMW - Common",,,"---","[Brown]Opening the tab ""page/quality"" in UPD UI is kind of slow because of cache missing"
2371119,"serious","P1","closed","hangl","yanchaozhang","VDI","Linux Agent","mksVNCServer","view-agent-auto-lx",,"---","Failed to login to Ubuntu 1804"
2371130,"serious","P1","reopened","gsi","scheng","VDI","USB Redirection","Win Agent",,14003321,"---","wsnm dumps were found during automation tests"
2371203,"serious","P1","closed","hangl","yanchaozhang","VDI","Linux Agent","mksVNCServer","linuxvdi-multiple-session, view-agent-auto-lx",14014091,"---","Coredump generated for Xorg when logoff from RHEL 7 agent"
2371246,"serious","P1","closed","aisajanyan","ljack","VDI","Blast Protocol","Display",,14013864,"---","[New Client] There will be a cursor shown inside agent desktop when moving or resizing the agent desktop"
2371343,"serious","P1","closed","bhatial","xinshul","VDI","Multimedia","Browser Redirection",,,"---","Resizing the viewport by dragging the edge is not with good experience"
2371389,"minor","P1","closed","nirmitd","xinshul","VDI","Multimedia","Browser Redirection","pending-code-review",,"---","Select parts of the characters in the extension address bar and type something does not work"
2371452,"minor","P1","new","dperi","ljack","VDI","Blast Protocol","Other",,14016461,"No","Failed to launch agent desktop and Blast service dump"
2371460,"critical","P1","closed","shahsunny","zhoujing","VDI","Virtual Devices","Geolocation redirection",,13998014,"---","[PCoIP only]GeoLocation cannot be redirected to agent while using legacy reader"
2371548,"serious","P1","closed","achernikov","swan","VDI","Blast Integration","Win Client",,14013864,"---","[New Client] RMKS crash due to PANIC on DX11 Renderer"
2371561,"critical","P0","closed","alanh","swan","VDI","Blast Integration","Win Client","TestBlocker",14000604,"---","[New Client] RMKS crash with ""PANIC: VIEWWINCLIENT: DX11AttachWindow failed; windowId:11, hWnd:0"""
2371825,"serious","P1","closed","blast-networking-sensei","presslerv","VDI","Blast Networking","vVC (VMware Virtual Channels)","found-by-benev",,"---","[BENeV][Vvc] Crash when acquiring lock from VvcSendMPTAckMessages()"
2371836,"serious","P1","closed","amold","presslerv","VDI","Blast Networking","BEAT (UDP FEC) Library","found-by-benev",,"---","[BENeV][BEAT] Signature failure with FECHostLock"
2371840,"serious","P1","closed","nke","presslerv","VDI","Blast Networking","vVC (VMware Virtual Channels)","found-by-benev",,"---","[BENeV][Vvc] Crash when trying to destroy acquired exclusive lock - session lock"
2371891,"serious","P1","closed","bentonj","ljack","VDI","Blast Integration","Win Client",,14013864,"---","[New Client] [Dynamic Encoder] With ROLLBACK setting, dynamic encoder feature doesn't work"
2371905,"critical","P1","closed","alanh","ljack","VDI","Blast Integration","Win Client",,14013864,"---","[New Client] With relative mouse enabled, the cursor cannot move upward after clicking the top menu under full screen mode"
2371909,"critical","P1","new","jhuo","caohu","VDI","RTAV","Win Agent","mustfix",,"---","Enable vmwvwebcam RDSH driver on VDI"
2371932,"critical","P1","closed","bhatial","xinshul","VDI","Multimedia","Browser Redirection",,,"---","""The page is being redirected..."" status keeps on no matter how many times refresh after rebooting client"
2371981,"serious","P1","closed","joeqiux","zhoujing","VDI","Multimedia","HTML5 Video Redirection","PhysicalPCWin10RS4",14020733,"---","[Automation][Physical Agent]html5Server dump generated when agent goes to hibernate mode"
